@relation Arquivo
@attribute cacalo_silveira_martins integer
@attribute por_volta_de integer
@attribute kenny_braga_paixão integer
@attribute braga_paixão_colorar integer
@attribute por_cáren_cecília integer
@attribute de_ano_ir integer
@attribute tiago_rech_a integer
@attribute postar_por_cáren integer
@attribute por_tiago_rech integer
@attribute postar_por_tiago integer
@attribute dono_de_casa integer
@attribute rech_a_categoria integer
@attribute copa_de_brasil integer
@attribute em_noite_de integer
@attribute em_manhã_de integer
@attribute homem_de_ano integer
@attribute de_quarta_feira integer
@attribute cáren_cecília_categoria integer
@attribute dentro_de_casa integer
@attribute secretaria_municipal_de integer
@attribute cáren_cecília_baldo integer
@attribute silveira_martins_paixão integer
@attribute martins_paixão_tricolor integer
@attribute em_sapucaia_de integer
@attribute sapucaia_de_sul integer
@attribute sul_de_capital integer
@attribute zona_sul_de integer
@attribute invadir_casa_de integer
@attribute de_terça_feira integer
@attribute em_dia_de integer
@attribute de_copa_de integer
@attribute time_de_inter integer
@attribute de_diário_gaúcho integer
@attribute ir_preso_em integer
@attribute de_santos_ano integer
@attribute parada_de_ônibus integer
@attribute de_segundo_tempo integer
@attribute sob_cárcere_privado integer
@attribute em_início_de integer
@attribute postar_por_michele integer
@attribute em_presídio_central integer
@attribute de_rede_de integer
@attribute estar_com_inscrição integer
@attribute coronel_silanus_melo integer
@attribute de_gangue_de integer
@attribute vaz_pradella_a integer
@attribute com_inscrição_aberta integer
@attribute em_porto_alegre integer
@attribute em_contato_com integer
@attribute menino_de_ano integer
@attribute classe {corpus_policia, corpus_espaco_do_trabalhador, corpus_esportes, corpus_seu_problema_e_nosso, }
@data
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
