@relation Arquivo
@attribute cacalo_silveira_martins integer
@attribute kenny_braga_paixão integer
@attribute braga_paixão_colorar integer
@attribute silveira_martins_paixão integer
@attribute copa_de_brasil integer
@attribute postar_por_cáren integer
@attribute martins_paixão_tricolor integer
@attribute dono_de_casa integer
@attribute por_tiago_rech integer
@attribute postar_por_tiago integer
@attribute tiago_rech_a integer
@attribute bala_em_cara integer
@attribute cáren_cecília_categoria integer
@attribute de_copa_de integer
@attribute r_inscrições_www integer
@attribute rech_a_categoria integer
@attribute em_frente_a integer
@attribute em_manhã_de integer
@attribute de_acordo_com integer
@attribute de_bala_em integer
@attribute de_tráfico_em integer
@attribute tráfico_de_droga integer
@attribute maria_de_conceição integer
@attribute postar_por_michele integer
@attribute michele_vaz_pradella integer
@attribute cáren_cecília_baldo integer
@attribute vaz_pradella_a integer
@attribute por_michele_vaz integer
@attribute ano_ir_morto integer
@attribute rech_tiago_categoria integer
@attribute secretaria_municipal_de integer
@attribute vila_maria_de integer
@attribute zona_norte_de integer
@attribute tiago_rech_tiago integer
@attribute acordo_com_delegado integer
@attribute de_homicídio_de integer
@attribute com_inscrição_aberta integer
@attribute em_dia_de integer
@attribute boca_de_fumo integer
@attribute pradella_a_categoria integer
@attribute r_r_inscrições integer
@attribute de_terça_feira integer
@attribute salários_de_r integer
@attribute cecília_categoria_vaga integer
@attribute morador_de_rua integer
@attribute ir_morto_com integer
@attribute em_função_de integer
@attribute em_zona_norte integer
@attribute técnico_renato_portaluppi integer
@attribute assessoria_de_imprensa integer
@attribute classe {corpus_policia, corpus_espaco_do_trabalhador, corpus_esportes, corpus_seu_problema_e_nosso, }
@data
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, corpus_policia
